Pembicara,Tema,Menit,Teks
Prabowo,Visi Misi,40.46,mereka akan baik sehingga mereka bisa memberi pelayanan kepada rakyat dengan
Prabowo,Visi Misi,40.51,sebaik-baiknya saudara-saudara sekalian itu beberapa program unggulan kami dalam
Prabowo,Visi Misi,40.58,rangka strategi transformasi bangsa kita tidak hanya sekedar mau pembangunan kita
Prabowo,Visi Misi,41.05,mau transformasi bangsa kita di atas landasan ekonomi yang sudah dibangun
Prabowo,Visi Misi,41.11,oleh Presiden Joko Widodo dan presiden-presiden sebelumnya saudara-saudara sekalian demikian
Prabowo,Visi Misi,41.18,pemikiran kami kami yakin kami akan melaksanakan itu dan kami akan mencapai
Prabowo,Visi Misi,41.25,Indonesia emas 2045 Terima kasih wasalamualaikum warahmatullahi wabarakatuh
Moderator,Visi Misi,41.32,Terima kasih Pak Prabowo mohon tenang
Moderator,Visi Misi,41.39,bapak-bapak selanjutnya calon Presiden nomor urut 3 Bapak Ganjar pranowo untuk
Moderator,Visi Misi,41.44,memaparkan visi misi dan program kerja waktu Bapak 4 menit dimulai saat Bapak
Moderator,Visi Misi,41.50,berbicara silakan
Ganjar,Visi Misi,41.57,asalamualaikum warahmatullahi wabarakatuhamat salam sejahtera untuk kita semuanya om swtiastu namo Buda Shalom
Ganjar,Visi Misi,42.04,Rahayu membangun Indonesia yang beradab kita mulai dari tiga
Ganjar,Visi Misi,42.09,bagian kita punya kepribadian dalam kebudayaan dan itu mesti masuk di dalam
Ganjar,Visi Misi,42.15,jiwa Insan Indonesia dan tentu saja kesehatan menjadi yang
Ganjar,Visi Misi,42.21,pertama preventif adalah sesuatu yang paling bagus kita olahrag makan sehat
Ganjar,Visi Misi,42.27,dan itu akan membantu dalam politik kesehatan kita akan jauh lebih baik dan tentu saja akses kesehatan yang
Ganjar,Visi Misi,42.35,diperlukan di setiap desa Kenapa Ganjar Mahfud membuat satu Desa satu faskes
Ganjar,Visi Misi,42.41,satu nakes karena kami ingin mereka mendapatkan yang terbaik dan kemudian
Ganjar,Visi Misi,42.47,ibu anak lansia disabilitas masyarakat adat akan mendapatkan peran yang sama di
Ganjar,Visi Misi,42.55,dalam layanan-layanan kesehatan di mana Di daerah-daerah terisolir mereka
Ganjar,Visi Misi,43.00,membutuhkan akses ini dengan sangat bagus kalau itu semua sudah baik Bapak Ibu maka Pendidikan dan Kebudayaan mesti
Ganjar,Visi Misi,43.08,kita bangun bersama-sama akses pendidikan yang baik lebih inklusi
Ganjar,Visi Misi,43.15,kemudian kurikulum yang mantap dan tentu saja fasilitas yang diberikan harus bisa
Ganjar,Visi Misi,43.22,memberikan akses terbaik untuk anak-anak Didik kita masuk nasib guru dan dosen
Ganjar,Visi Misi,43.27,kalaulah kemudian ini bisa berjalan dengan baik maka perempuan muda dari Jogja Mbak kalis namanya menyampaikan
Ganjar,Visi Misi,43.34,Pak Ganjar perhatikan mereka yang selama ini terpinggirkan ada dua yang utama
Ganjar,Visi Misi,43.41,kelompok perempuan dan yang kedua adalah penyandeng disabilitas tolong betul agar
Ganjar,Visi Misi,43.47,sekolah makin inklusi dan mereka tidak mendapatkan perlakuan yang
Ganjar,Visi Misi,43.53,diskriminatif setelah itulah kemudian baru mereka bekerja dan tentu saja
Ganjar,Visi Misi,43.58,keterampilan yang dia dapatkan melalui pendidikan yang baik ini akan mendorong atau bisa merespon lapangan kerja yang
Ganjar,Visi Misi,44.04,sangat terbuka dan upah buruh yang baik sehingga kawan-kawan buruh kemarin bertemu dengan saya tolong Pak segedar
Ganjar,Visi Misi,44.11,review undang-undang Cipta kerja karena ini yang perlu mendapatkan keseimbangan
Ganjar,Visi Misi,44.16,dengan nasib kami dan tentu saja pembangunan ini harus berorientasi kepada SDM atau manusia budi pekerti
Ganjar,Visi Misi,44.24,yang baik sopan toler Tidak atigang atigung atiguno sehingga
Ganjar,Visi Misi,44.30,mereka menjadi manusia yang lengkap ini bisa berjalan dengan cepat kalau digitalisasi kita lakukan infrastruktur
Ganjar,Visi Misi,44.37,teknologi informasinya baik kemudian tersebar internetnya bisa cepat dan
Ganjar,Visi Misi,44.43,mereka akan bisa mendapatkan media yang bagus untuk mengembangkan diri tentu
Ganjar,Visi Misi,44.48,saja Bapak Ibu dalam politik kali ini itu mesti diberikan contoh demokrasinya
Ganjar,Visi Misi,44.54,harus lebih baik demokratisasi berjalan baik kemudian contoh atau teladan
Ganjar,Visi Misi,44.59,pemimpin yang juga baik dan tidak ada konflik kepentingan seperti Pak Mahfud
Ganjar,Visi Misi,45.05,Contohkan dia mundur agar ini membangun integritas yang baik dan tentu saja
Ganjar,Visi Misi,45.10,keresahan yang muncul baik dari gusmus Muhammadiyah Romo van magnis Gunawan
Ganjar,Visi Misi,45.15,Muhammad dan kampus-kampus mesti menjadi catatan kita bersama bahwa kita dalam
Ganjar,Visi Misi,45.22,konteks berindonesia berbudaya semua dalam koridor yang baik dan tentu saja
Ganjar,Visi Misi,45.28,kenapa Ini mesti kita lakukan Bapak Ibu Karena itulah suara-suara rakyat yang kami dengarkan oleh Ganjar Mahfud ketika
Ganjar,Visi Misi,45.36,kami ditidur di rumah penduduk ketika kami mendengarkan mereka dan mereka
Ganjar,Visi Misi,45.41,membuka seluruh unek-uneknya Itulah kenapa kami sampaikan tuanku adalah
Ganjar,Visi Misi,45.47,rakyat jabatan inii hanyalah mandat wasalamualaikum warahmatullahi wabarakatuh
Moderator,Visi Misi,46.01,Waalaikumsalam warahmatullahi Terima kasih banyak bapak Ganjar nanti waktunya bapak bapak ibu semua Oke ada waktunya nanti ya sabar dulu
Moderator,Visi Misi,46.07,baik selanjutnya kami persilakan calon Presiden nomor urut 1 Bapak Anis Rasyid Baswedan
Moderator,Visi Misi,46.12,untuk menyampaikan visi misi dan program kerja waktu Bapak 4 menit
Moderator,Visi Misi,46.18,dimulai Ketika anda berbicara
Anis,Visi Misi,46.24,asalamualaikum warahmatullahi wabarakatuh Selamat malam
Anis,Visi Misi,46.32,Salam sejahtera untuk kita semua ibu bapak saudara-saudara sebangsa setanah
Anis,Visi Misi,46.38,air yang sangat saya cintai persoalan terbesar bangsa kita hari ini Republik
Anis,Visi Misi,46.44,kita hari ini adalah ketimpangan ketidaksetaraan ketidakadilan
Anis,Visi Misi,46.49,ketimpangan Antara Jakarta dan luar Jakarta Jawa luar Jawa kaya miskin Desa
Anis,Visi Misi,46.57,Kota Pendidikan umum pendidikan agama pendidikan kejuruan dan pendidikan
Anis,Visi Misi,47.03,teknis Ini semua adalah ketimpangan yang hari ini menjadi fenomena membahayakan
Anis,Visi Misi,47.09,bagi republik ini bahkan di bidang perekonomian segelintir orang menguasai
Anis,Visi Misi,47.15,sebagian besar perekonomian kita ketika republik ini didirikan para pendirinya
Anis,Visi Misi,47.20,60-an orang anggota BPUPKI mereka adalah orang-orang terdidik mereka Adalah
Anis,Visi Misi,47.25,kaum yang privileg tapi mereka mendirikan Republik untuk semua bukan mendirikan Republik untuk kepentingan
Anis,Visi Misi,47.32,dirinya golongannya ataupun keluarganya mereka mendirikan ini untuk semuanya kekuasaan yang dibangun untuk memberikan
Anis,Visi Misi,47.38,kesempatan kepada semua Sekarang kita jauh dari Cita Cita republik ini ketika para pendiri itu kaum intelektual mereka
Anis,Visi Misi,47.45,memilih berjuang di jalur politik Saya berangkat sebagai pengajar mendapat panggilan tugas di wilayah politik kami
Anis,Visi Misi,47.51,akan membawa gagasan pendiri Republik untuk kembali mewarnai republik ini untuk untuk bisa mengarahkan Republik ke
Anis,Visi Misi,47.57,depan agar kembali pada format awal Apa masalah hari ini 45 juta orang belum
Anis,Visi Misi,48.02,bekerja dengan layak bicara jaminan sosial lebih dari 70 juta orang tidak punya jaminan sosial bicara pendidikan
Anis,Visi Misi,48.08,jauh dari kota terpencil masa depan jadi suram kemampuan tinggi kesempatan tidak
Anis,Visi Misi,48.14,ada sangat frustrasi melihatnya kesehatan mental kekerasan seksual lebih
Anis,Visi Misi,48.19,15 juta orang jadi korban ini problem-problem yang tidak menjadi kepedulian segelintir elit ini adalah
Anis,Visi Misi,48.26,kepedulian rakyat Kebanyakan karena itu dalam perjalanan kami 1 tahun kami menemukan jutaan rakyat yang
Anis,Visi Misi,48.32,berbondong-pondong menginginkan perubahan mereka membuat poster rakyat membuat posko rakyat mendoakan dari
Anis,Visi Misi,48.38,tempat yang tidak kita lihat poster-poster itu Cemerlang karena bukan didanai dari uang dari Jakarta tapi
Anis,Visi Misi,48.44,didanai oleh keringatnya yang jernih hasil kerja kerasnya ini adalah keinginan Perubahan apa yang ingin kita
Anis,Visi Misi,48.51,sampai satu kita akan memastikan hidup sehat dan bila sakit ada pertolongan
Anis,Visi Misi,48.56,cepat tumbuh cerdas dengan biaya terjangkau keluarga sejahtera karena
Anis,Visi Misi,49.01,upahnya layak dan bila membutuhkan diberikan Bansos sesuai kebutuhannya Bansos plus bukan memberikan Bansos
Anis,Visi Misi,49.08,untuk kepentingan yang memberi tapi untuk kepentingan yang diberi dan warga negara yang bangga dengan negaranya
Anis,Visi Misi,49.15,karena dijaga budayanya dan etikanya dijaga tinggi kita menginginkan
Anis,Visi Misi,49.20,persatuan karena ditopang dengan rasa keadilan persatuan itu tidak mungkin terjadi dalam ketimpangan persatuan
Anis,Visi Misi,49.28,membutuhkan rasa keadilan karena itu misi kami tegas mewujudkan bangsa yang
Anis,Visi Misi,49.34,sehat yang cerdas yang sejahtera berbudaya dan bersatu kita menyaksikan
Anis,Visi Misi,49.40,begitu banyak orang punya prinsip sopo Wani rekoso bakal Gayuh Mulyo siapapun
Anis,Visi Misi,49.46,yang bersungguh-sungguh dalam usahanya pasti meraih kemuliaan tapi bila kesempatannya ada bila kesempatannya
Anis,Visi Misi,49.53,tidak ada menghasilkan frustrasi dan kami ketika menjalankan amanat maka kami akan memegang prinsip ngadek sacekna
Anis,Visi Misi,50.01,nilas saplasna konsens konsistensi ucapan dan perbuatan menjunjung
Anis,Visi Misi,50.07,kejujuran dan kearifan ini komitmen kami fokus pada pembangunan manusia Indonesia
Anis,Visi Misi,50.13,menghadirkan kesetaraan menghadirkan keadilan dengan seperti itu kita ada
Anis,Visi Misi,50.18,persatuan perubahan saatnya kita kerjakan Katong bergerak untuk perubahan
Anis,Visi Misi,50.24,untuk seluruh rakyat Indonesia di mana pun berada Terima kasih wasalamualaikum warahmatullahi wabarakatuh
Moderator,Kesehatan,50.31,Waalaikumsalam warahmatullahi wabarakatuh Terima kasih Pak Anis dan kini silakan kita Berikan tepuk tangan
Moderator,Kesehatan,50.38,dan apresiasi untuk ketiga calon presiden yang sudah menyampaikan visi misi dan program kerja mereka
Moderator,Kesehatan,50.54,hadirin sekalian sesaat lagi kita akan masuk ke segmen memperdalam visi misi dan program kerja
Moderator,Kesehatan,51.02,calon presiden yang telah disampaikan untuk itu Tetaplah bersama kami di debat kelima calon presiden tahun 2024
Moderator,Kesehatan,58.04,Ya pemirsa anda kembali menyaksikan debat kelima calon presiden Pemilu tahun
Moderator,Kesehatan,58.11,2024 dengan subtema pendidikan kesehatan Ketenagakerjaan
Moderator,Kesehatan,58.18,kebudayaan teknologi informasi Kesejahteraan Sosial dan inklusi dan
Moderator,Kesehatan,58.23,pada segmen ini calon Presiden akan menjawab pertanyaan yang telah dibuat oleh tim panelis untuk itu kami undang
Moderator,Kesehatan,58.30,terlebih dahulu paslon untuk menuju ke podium kembali silakan bapak-bapak
Moderator,Kesehatan,58.41,betul sekali Anggi KPU juga telah memilih 12 orang panelis untuk mempertajam dan menggali visi misi dan
Moderator,Kesehatan,58.49,program kerja calon presiden sejumlah pertanyaan juga telah disiapkan dan KPU
Moderator,Kesehatan,58.56,telah menentukan mekanisme agar pertanyaan yang disampaikan sesuai
Moderator,Kesehatan,59.02,dengan subtema di segmen sebelumnya pemirsa penyampaian visi misi dan
Moderator,Kesehatan,59.07,program kerja dimulai dengan calon Presiden nomor urut 2 maka di sesi ini
Moderator,Kesehatan,59.13,kita akan mulai dengan calon Presiden nomor urut 3 Bapak Ganjar pranowo
Moderator,Kesehatan,59.25,untuk bisa mengambil subtema pertanyaan dari wadah yang sudah kami
Moderator,Kesehatan,59.34,sediakan kami mohon untuk dibuka dan diperlihatkan kepada calon presiden dan
Moderator,Kesehatan,59.39,ke kami moderator
Moderator,Kesehatan,59.50,subtemanya adalah kesehatan
Moderator,Kesehatan,59.56,Kami juga akan mengundang Bapak tolas Dam m untuk dapat mengambil undian
Moderator,Kesehatan,1.00.02,daftar pertanyaan Bapak dari Fisbol yang telah tersedia Apakah huruf a b atau c
Moderator,Kesehatan,1.00.10,yang akan muncul Bisa diperlihatkan
Moderator,Kesehatan,1.00.19,huruf a baik ini pertanyaannya
Moderator,Kesehatan,1.00.25,masih tersegel dengan subtema kesehatan kita akan membuka dan kami ingatkan kepada
Moderator,Kesehatan,1.00.32,calon presiden untuk bisa menyimak baik-baik pertanyaan karena hanya akan dibacakan satu kali
Moderator,Kesehatan,1.00.43,baik pertanyaan untuk calon Presiden nomor urut 3 Bapak Ganjar pranowo
Moderator,Kesehatan,1.00.49,word population prospek tahun 2022 menunjukan angka harapan hidup manusia di Indonesia berada di
Moderator,Kesehatan,1.00.57,urutan 10 dari 11 negara ASEAN salah satu penyebabnya kebijakan program dan
Moderator,Kesehatan,1.01.03,anggaran kesehatan lebih berorientasi pada aspek kuratif daripada promotif dan
Moderator,Kesehatan,1.01.09,preventif pertanyaannya Bagaimana strategi paslon untuk memprioritaskan anggaran dan
Moderator,Kesehatan,1.01.16,program promotif preventif silakan waktu anda 2 menit menjawab di mulai saat anda berbicara
Ganjar,Kesehatan,1.01.23,terima kasih kalau tadi dalam pembukaan saya sampaikan mesti preventif dan promotif
Ganjar,Kesehatan,1.01.30,mesti diwujudkan dalam bentuk kepengetahuan kita terhadap kesehatan
Ganjar,Kesehatan,1.01.35,minimal untuk kita sendiri berolahraga makan sehat hidup bersih sehat Saya kira
Ganjar,Kesehatan,1.01.42,itu yang paling baik maka pada tahap berikutnya barulah kemudian kita memberikan Fasilitas Kesehatan sampai ke
Ganjar,Kesehatan,1.01.48,desa-desa seperti tadi saya sampaikan satu Desa satu faskes satu nakes
Ganjar,Kesehatan,1.01.55,hanya memang ketika undang-undang sebelumnya mengatur bahwa ada persentase
Ganjar,Kesehatan,1.02.01,dari anggaran untuk kesehatan mesti diberikan terpotong kemarin rasanya Ini mesti dikembalikan angka 5 sampai 10 persen
Ganjar,Kesehatan,1.02.09,menjadi angka yang bisa memastikan e dalam politik kesehatan kita layanan itu
Ganjar,Kesehatan,1.02.16,akan jauh bisa lebih baik namun ingat kalau kita bicara angka harapan hidup
Ganjar,Kesehatan,1.02.21,maka terhadap mereka mesti mendapatkan ee layanan Kesehatan baik mereka mesti
Ganjar,Kesehatan,1.02.28,Mendapatkan hiburan yang baik budayawan juga bisa membantu mereka untuk
Ganjar,Kesehatan,1.02.34,bisa membahagiakan mereka maka pada saat itu ternyata ada juga keinginan dari
Ganjar,Kesehatan,1.02.40,masyarakat kami juga perlu mendapatkan layanan yang baik maka kalau Kemudian
Ganjar,Kesehatan,1.02.46,kami bisa mendapatkan layanan baik maka Kami merasa nyaman Kami senang dan hidup
Ganjar,Kesehatan,1.02.51,kami akan lebih panjang maka peran posyandu peran Dasa Wisma peran Kelurahan RT itu
Ganjar,Kesehatan,1.02.59,menjadi kekuatan yang luar biasa di samping tentu saja pemerintah akan mendampingi dalam setiap kebijakan yang
Ganjar,Kesehatan,1.03.05,ada sehingga dalam politik anggaran presentase yang mesti disiapkan agar
Ganjar,Kesehatan,1.03.11,anggaran kita bisa cukup untuk bisa memenuhi tentu ini kita bisa lakukan secara bertahap dan itulah program
Ganjar,Kesehatan,1.03.19,yang cukup bisa komprehensif menyelesaikan Bagaimana harapan hidup bisa jauh lebih panjang
Moderator,Kesehatan,1.03.25,ya Selanjutnya kami berikan kesempatan
Moderator,Kesehatan,1.03.31,untuk capres nomor 1 Bapak Anis Baswedan menanggapi jawaban yang disampaikan oleh Pak Ganjar silakan Pak Anis waktu anda 1
Moderator,Kesehatan,1.03.38,menit dimulai ketika berbicara
Anis,Kesehatan,1.03.45,yang tadi sampaikan baik dan Izinkan saya meneruskan bahwa salah satu persoalan utama adalah pusat kesehatan masyarakat kita saat ini diarahkan terlalu fokus
Anis,Kesehatan,1.03.52,pada hal-hal yang sifatnya kuratif lalu urusan kesehatan seakan menjadi urusan
Anis,Kesehatan,1.03.57,Kementerian Kesehatan dan Dinas Kesehatan saja dan salah satu masalah utama adalah banyak yang disebabkan oleh
Anis,Kesehatan,1.04.03,pola hidup yang tidak sehat karena itu kami melihat yang disebut sebagai promotif preventif kuratif ini harus
Anis,Kesehatan,1.04.10,seimbang jadi kesehatan itu harus lintas sektoral kami pernah lakukan ini di
Anis,Kesehatan,1.04.15,Jakarta yang kita kerjakan misalnya membangun air bersih misalnya kepulauan seribu supaya mereka dapat air yang sehat
Anis,Kesehatan,1.04.22,yang kedua membangun taman-taman membangun jalur sepeda kemudian membangun trotoar membuat orang berjalan
Anis,Kesehatan,1.04.29,kaki festival olahraga jadi unsurnya adalah lintas sektoral supaya dana itu
Anis,Kesehatan,1.04.35,bukan hanya pada Dinas Kesehatan tapi pada semua bidang yang terkait dengan preventif promotif
Moderator,Kesehatan,1.04.41,ya berikutnya kami persilakan capres nomor urut 2 Bapak Prabowo Subianto untuk menanggapi jawaban dari Pak Ganjar silakan Pak Prabowo waktunya 1 menit
Prabowo,Kesehatan,1.04.48,ya jadi saya ee lebih ke arah ee solutif
Prabowo,Kesehatan,1.04.54,langsung dan cepat masalah kesehatan di Indonesia adalah kurangnya dokter kita
Prabowo,Kesehatan,1.05.08,atau serangan jantung dua sebab yang paling besar kematian di beberapa
Prabowo,Kesehatan,1.05.14,kabupaten tidak ada spesialis jantung atau spesialis stroke dua tidak ada
Prabowo,Kesehatan,1.05.22,perlengkapan-perlengkapan yang memadai City scan pet scan jarang ada di
Prabowo,Kesehatan,1.05.28,kabupaten ini harus kita atasi dan ini bisa kita atasi jadi eh solutifnya
Prabowo,Kesehatan,1.05.34,demikian dan yang paling penting dalam preventif adalah makan bergizi untuk
Prabowo,Kesehatan,1.05.39,anak-anak dan ibu-ibu yang melahirkan makan bergizi Ini meningkatkan daya tahan imunitas
Prabowo,Kesehatan,1.05.47,mencegah penyakit ini adalah strategis sekali makan bergizi untuk anak-anak Indonesia
Moderator,Kesehatan,1.05.52,terima kasih Pak prabowo Ya silakan Bapak Ganjar pranowo
Moderator,Kesehatan,1.05.58,menanggapi jawaban tadi silakan direspon jawaban tadi
Moderator,Kesehatan,1.06.04,dengan waktu 1 menit silakan
Ganjar,Kesehatan,1.06.11,Iya terima kasih one health satu kesehatan untuk semua dan ini mesti dibicarakan ya manusianya ya kesehatan
Ganjar,Kesehatan,1.06.17,hewannya karena ada zoonosis juga di sana Maka kalau kita bicara Bagaimana
Ganjar,Kesehatan,1.06.22,secara holistik maka kesehatan semesta inilah yang mesti kita ciptakan saya
Ganjar,Kesehatan,1.06.28,masih berprinsip pada preventif promotif itu jauh lebih baik kalau tidak kita
Ganjar,Kesehatan,1.06.35,kobol-kobol biaya kita akan habis untuk ee menangani orang sakit tapi kalau kita
Ganjar,Kesehatan,1.06.42,bisa mencegah maka inilah yang akan ee bisa membikin manusia bisa hidup sehat
Ganjar,Kesehatan,1.06.48,maka sekali lagi ee anggaran pendidikan untuk pencegahan maaf untuk kesehatan itu bisa kembali pada formula awal dan
Ganjar,Kesehatan,1.06.56,yang kemudian kita menciptakan ruang-ruang layanan yang jauh lebih baik apalagi untuk preventif dan promotif
Ganjar,Kesehatan,1.07.03,yang bisa diberikan oleh pemerintah
Moderator,Teknologi Informasi,1.07.10,Ya baik selanjutnya kita akan beralih ke pertanyaan kedua giliran capres nomor urut 1 Bapak Anis Rasid Baswedan untuk
Moderator,Teknologi Informasi,1.07.17,itu kami mempersilakan panelis Bapak Bahrudin untuk mengambil subtema
Moderator,Teknologi Informasi,1.07.22,pertanyaan yang ada di dalam wadah silakan
Moderator,Teknologi Informasi,1.07.29,dibuka diperlihatkan ke capres dan moderator
Moderator,Teknologi Informasi,1.07.35,teknologi informasi ya
Moderator,Teknologi Informasi,1.07.42,dan selanjutnya kami undang Bapak Damar juniarto untuk mengambil undian daftar pertanyaan dari
Moderator,Teknologi Informasi,1.07.48,wadah silakan dipilih
Moderator,Teknologi Informasi,1.07.54,huruf C
Moderator,Teknologi Informasi,1.08.01,hadirin sekalian dan juga para calon presiden posisi amplop dalam kondisi
Moderator,Teknologi Informasi,1.08.07,disegel sama sekali berikut ini kita akan buka bersama sekali kami ingatkan kepada
Moderator,Teknologi Informasi,1.08.14,calon presiden untuk mendengarkan secara seksama karena kami hanya akan membacakan pertanyaan selama satu kali
Moderator,Teknologi Informasi,1.08.21,pertanyaan untuk calon Presiden nomor urut satu bapak anis Rasid Baswedan kedaulatan teknologi informasi
Moderator,Teknologi Informasi,1.08.28,Indonesia terancam impor ponsel tahun 2023 mencapai 30 triliun rupiah padahal untuk
Moderator,Teknologi Informasi,1.08.38,membangun pabrik ponsel hanya membutuhkan investasi sekitar setengah
Moderator,Teknologi Informasi,1.08.44,triliun rupiah pertanyaannya Bapak apa langkah strategis paslon membangun kedaulatan
Moderator,Teknologi Informasi,1.08.51,manufaktur telekomunikasi dan teknologi informas di Indonesia waktu Bapak 2 menit dimulai
Moderator,Teknologi Informasi,1.08.57,saat Bapak berbicara
Anis,Teknologi Informasi,1.09.09,terima kasih kita menyaksikan bahwa kemajuan
Anis,Teknologi Informasi,1.09.15,sistem telekomunikasi dan teknologi informasi itu berkembang amat pesat
Anis,Teknologi Informasi,1.09.20,karena itu Indonesia tidak boleh ketinggal dan gagasan kita adalah satu peningkatan
Anis,Teknologi Informasi,1.09.28,kualitas manusia dan inovasi di sektor teknologi informasi dengan cara pairing
Anis,Teknologi Informasi,1.09.35,berpasangan mendatangkan pakar untuk bisa melakukan alih teknologi bersama-sama yang kedua memprioritaskan
Anis,Teknologi Informasi,1.09.42,investasi yang masuk dalam bentuk investasi padat karya yang didukung
Anis,Teknologi Informasi,1.09.48,dengan perbaikan reformasi birokrasi dan pemberantasan korupsi ini akan
Anis,Teknologi Informasi,1.09.54,memberikan lowongan kerja untuk masyarakat lokal dan ada tiga aspek
Anis,Teknologi Informasi,1.10.00,fundamental yaitu akses kecepatan keamanan yang ini menjadi prioritas
Anis,Teknologi Informasi,1.10.06,sehingga dengan cara seperti itu ketika kita mengundang untuk melakukan investasi kita akan bisa menyiapkan
Anis,Teknologi Informasi,1.10.12,infrastrukturnya hal yang tidak kalah penting terkait dengan pembangunan ini adalah perlindungan atas hak intelektual
Anis,Teknologi Informasi,1.10.22,yang nanti akan terkait dengan industri manufaktur yang terkait di sini kami memandang investasi padat modal yang
Anis,Teknologi Informasi,1.10.30,seperti ini Padat Karya akan memungkinkan Indonesia untuk lompat lebih cepat demikian jawaban kami terima kasih
Moderator,Teknologi Informasi,1.10.36,Masih Ada Waktu Bapak masih ada 33 detik cukup di sini
Moderator,Teknologi Informasi,1.10.44,baik selanjutnya kami berikan kesempatan kepada calon Presiden nomor bapak prabowo Subianto untuk menanggapi
Moderator,Teknologi Informasi,1.10.50,jawaban yang disampaikan oleh bapak anis baswedan waktu Bapak 1 menit dimulai saat Bapak berbicara kalau 
Prabowo,Teknologi Informasi,1.10.57,saya selalu solutif dan tindakan kalau memang hanya setengah triliun perlu kehendak politik
Prabowo,Teknologi Informasi,1.11.03,ya bangun itu pabrik segera jadi itu pertama kedua masalah teknologi selalu
